"countryid","countryname","Countrycode (ISO3166)"
"0","Afghanistan","AFG"
"1","Albania","ALB"
"2","Algeria","DZA"
"3","Andorra","AND"
"4","Angola","AGO"
"5","Antigua and Barbuda","ATG"
"6","Argentina","ARG"
"7","Armenia","ARM"
"8","Aruba","ABW"
"9","Australia","AUS"
"10","Austria","AUT"
"11","Azerbaijan","AZE"
"12","Bahamas","BHS"
"13","Bahrain","BHR"
"14","Bangladesh","BGD"
"15","Barbados","BRB"
"16","Belarus","BLR"
"17","Belgium","BEL"
"18","Belize","BLZ"
"19","Benin","BEN"
"20","Bermuda","BMU"
"21","Bhutan","BTN"
"22","Bolivia","BOL"
"23","Bosnia and Herzegovia","BIH"
"24","Botswana","BWA"
"25","Brazil","BRA"
"26","Brunei Darussalam","BRN"
"27","Bulgaria","BGR"
"28","Burkina Faso","BFA"
"29","Burundi","BDI"
"30","Cambodia","KHM"
"31","Cameroon","CMR"
"32","Canada","CAN"
"33","Cape Verde","CPV"
"34","Central African Republic","CAF"
"35","Chad","TCD"
"36","Chile","CHL"
"37","China","CHN"
"38","Colombia","COL"
"39","Comoros","COM"
"40","Congo","COG"
"41","Congo, Democratic Republic","COD"
"42","Costa Rica","CRI"
"43","Cote de Ivoire","CIV"
"44","Croatia","HRV"
"45","Cuba","CUB"
"46","Cyprus","CYP"
"47","Czech Rep","CZE"
"48","Denmark","DNK"
"49","Djibouti","DJI"
"50","Dominica","DMA"
"51","Dominican Republic","DOM"
"52","East Timor","TLS"
"53","Ecuador","ECU"
"54","Egypt","EGY"
"55","El Salvador","SLV"
"56","Equatorial Guinea","GNQ"
"57","Eritrea","ERI"
"58","Estonia","EST"
"59","Ethiopia","ETH"
"60","Fiji","FJI"
"61","Finland","FIN"
"62","France","FRA"
"63","French Guiana","GUF"
"64","French Polynesia","PYF"
"65","Gabon","GAB"
"66","Gambia","GMB"
"67","Georgia","GEO"
"68","Germany","DEU"
"69","Ghana","GHA"
"70","Greece","GRC"
"71","Grenada","GRD"
"72","Guadeloupe","GLP"
"73","Guatemala","GTM"
"74","Guinea","GIN"
"75","Guinea-Bissau","GNB"
"76","Guyana","GUY"
"77","Haiti","HTI"
"78","Honduras","HND"
"79","Hong Kong","HKG"
"80","Hungary","HUN"
"81","Iceland","ISL"
"82","India","IND"
"83","Indonesia","IDN"
"84","Iran","IRN"
"85","Iraq","IRQ"
"86","Ireland","IRL"
"87","Israel","ISR"
"88","Italy","ITA"
"89","Jamaica","JAM"
"90","Japan","JPN"
"91","Jordan","JOR"
"92","Kazakhstan","KAZ"
"93","Kenya","KEN"
"94","Kiribati","KIR"
"95","Korea, Democratic Peoples Republic","PRK"
"96","Korea, Republic","KOR"
"97","Kuwait","KWT"
"98","Kyrgyzstan","KGZ"
"99","Lao Peoples Democratic Republic","LAO"
"100","Latvia","LVA"
"101","Lebanon","LBN"
"102","Lesotho","LSO"
"103","Liberia","LBR"
"104","Libya","LBY"
"105","Liechtenstein","LIE"
"106","Lithuania","LTU"
"107","Luxembourg","LUX"
"108","Macau","MAC"
"109","Macedonia, FYR","MKD"
"110","Madagascar","MDG"
"111","Malawi","MWI"
"112","Malaysia","MYS"
"113","Maldives","MDV"
"114","Mali","MLI"
"115","Malta","MLT"
"116","Marshall Islands","MHL"
"117","Martinique","MTQ"
"118","Mauritania","MRT"
"119","Mauritius","MUS"
"120","Mexico","MEX"
"121","Micronesia","FSM"
"122","Moldova","MDA"
"123","Monaco","MCO"
"124","Mongolia","MNG"
"125","Morocco","MAR"
"126","Mozambique","MOZ"
"127","Myanmar","MMR"
"128","Namibia","NAM"
"129","Nauru","NRU"
"130","Nepal","NPL"
"131","Netherlands","NLD"
"132","Netherlands Antilles","ANT"
"133","New Caledonia","NCL"
"134","New Zealand","NZL"
"135","Nicaragua","NIC"
"136","Niger","NER"
"137","Nigeria","NGA"
"138","Norway","NOR"
"139","Oman","OMN"
"140","Pakistan","PAK"
"141","Palau","PLW"
"142","Panama","PAN"
"143","Papua New Guinea","PNG"
"144","Paraguay","PRY"
"145","Peru","PER"
"146","Philippines","PHL"
"147","Poland","POL"
"148","Portugal","PRT"
"149","Puerto Rico","PRI"
"150","Qatar","QAT"
"151","Reunion","REU"
"152","Romania","ROU"
"153","Russian Federation","RUS"
"154","Rwanda","RWA"
"155","Samoa","WSM"
"156","San Marino","SMR"
"157","Sao Tome and Principe","STP"
"158","Saudi Arabia","SAU"
"159","Senegal","SEN"
"160","Seychelles","SYC"
"161","Sierra Leone","SLE"
"162","Singapore","SGP"
"163","Slovakia","SVK"
"164","Slovenia","SVN"
"165","Solomon Islands","SLB"
"166","Somalia","SOM"
"167","South Africa","ZAF"
"168","Spain","ESP"
"169","Sri Lanka","LKA"
"170","Saint Kitts and Nevis","KNA"
"171","Saint Lucia","LCA"
"172","Saint Vincent and Grenad","VCT"
"173","Sudan","SDN"
"174","Suriname","SUR"
"175","Swaziland","SWZ"
"176","Sweden","SWE"
"177","Switzerland","CHE"
"178","Syria","SYR"
"179","Taiwan","TWN"
"180","Tajikistan","TJK"
"181","Tanzania","TZA"
"182","Thailand","THA"
"183","Togo","TGO"
"184","Tonga","TON"
"185","Trinidad and Tobago","TTO"
"186","Tunisia","TUN"
"187","Turkey","TUR"
"188","Turkmenistan","TKM"
"189","Tuvalu","TUV"
"190","Uganda","UGA"
"191","Ukraine","UKR"
"192","United Arab Emirates","ARE"
"193","United Kingdom","GBR"
"194","United States","USA"
"195","Uruguay","URY"
"196","Uzbekistan","UZB"
"197","Vanuatu","VUT"
"198","Venezuela","VEN"
"199","Viet Nam","VNM"
"200","Virgin Islands, U.S.","VIR"
"201","West Bank and Gaza","PSE"
"202","Western Sahara","ESH"
"203","Yemen","YEM"
"204","Montenegro","MNE"
"205","Zambia","ZMB"
"206","Zimbabwe","ZWE"
"1000","Serbia","SRB"
"1001","Anguilla","AIA"
"1002","Aaland","ALA"
"1003","American Samoa","ASM"
"1004","French Southern Territories","ATF"
"1005","Bonaire, Saba and SaintÂ Eustatius","BES"
"1006","Bouvetisland","BVT"
"1007","Cocos Islands","CCK"
"1008","Cook Islands","COK"
"1009","Territory of Christmas Island","CXR"
"1010","Cayman Islands","CYM"
"1011","Falkland Islands","FLK"
"1012","Faeroe Islands","FRO"
"1013","Guernsey","GGY"
"1014","Gibraltar","GIB"
"1015","Greenland","GRL"
"1016","Heard Island and McDonald Islands","HMD"
"1017","Isle of Man","IMN"
"1018","British Indian Ocean Territory","IOT"
"1019","Jersey","JEY"
"1020","Saint Martin","MAF"
"1021","Northern Mariana Islands","MNP"
"1022","Montserrat","MSR"
"1023","Norfolk Island","NFK"
"1024","Niue","NIU"
"1025","Pitcairn Islands","PCN"
"1026","South Georgia and the South Sandwich Islands","SGS"
"1027","Saint Helena","SHN"
"1028","Svalbard and Jan Mayen","SJM"
"1029","Saint Pierre and Miquelon","SPM"
"1030","Turks and Caicos","TCA"
"1031","Tokelau","TKL"
"1032","United States Minor Outlying Islands","UMI"
"1033","British Virgin Islands","VGB"
"1034","Wallis and Futuna","WLF"
"1035","Mayotte","MYT"
"1036","GUAM","GUM"
"1037","Saint Barthelemy","BLM"
"1038","Curacao","CUW"
"1039","Vatikan City","VAT"
"1040","South Sudan","SSD"
"1041","Kosovo","KO-"
"-999","unknown","???"
